,id_spotify,score,title_rs,title_sp,artist_rs,artist_sp
7862,58808,0.911111111111111,Try a Little Tenderness,Try a Little Tenderness,Otis Redding,['Otis Redding']
7335,58126,0.914893617021277,I Only Have Eyes for You,I Only Have Eyes for You,The Flamingos,['The Flamingos']
6536,52556,0.351851851851852,Georgia on My Mind,Georgia On My Mind,Ray Charles,['Brenda Lee']
15252,85517,0.804878048780488,Summertime Blues,Summertime Blues,Eddie Cochran,['Eddie Cochran']
7402,58232,0.794871794871795,Cmon Everybody,C’Mon Everybody,Eddie Cochran,['Eddie Cochran']
18627,105118,0.853658536585366,Folsom Prison Blues,Folsom Prison Blues,Johnny Cash,['Johnny Cash']
16476,93316,0.888888888888889,I Walk the Line,I Walk the Line,Johnny Cash,['Johnny Cash']
7698,58630,0.843137254901961,Wake Up Little Susie,Wake up Little Susie,The Everly Brothers,['The Everly Brothers']
7696,58629,0.813953488372093,Bye Bye Love,Bye Bye Love,The Everly Brothers,['The Everly Brothers']
7670,58604,0.902439024390244,Under the Boardwalk,Under the Boardwalk,The Drifters,['The Drifters']
10806,67026,0.80952380952381,There Goes My Baby,There Goes My Baby,The Drifters,['The Drifters']
17523,99266,0.428571428571429,Money Honey,Ruby Baby,The Drifters,['The Drifters']
7336,58127,0.885714285714286,Mack the Knife,Mack the Knife,Bobby Darin,['Bobby Darin']
1791,12330,0.909090909090909,Great Balls of Fire,Great Balls of Fire,Jerry Lee Lewis,['Jerry Lee Lewis']
7280,58069,0.882352941176471,I Put a Spell on You,I Put a Spell On You,Screamin' Jay Hawkins,"[""Screamin' Jay Hawkins""]"
9604,64330,0.413793103448276,I Cant Stop Loving You,I Can't Stop Loving You,Ray Charles,['Roy Orbison']
7340,58131,0.625,What'd I Say,"What'd I Say, Pt. 1 & 2",Ray Charles,['Ray Charles']
7146,57922,0.736842105263158,I Got a Woman,I've Got a Woman,Ray Charles,['Ray Charles']
7273,58044,0.793103448275862,Im a Man,I'm A Man,Bo Diddley,['Bo Diddley']
7275,58048,0.727272727272727,Bo Diddley,Bo Diddley,Bo Diddley,['Bo Diddley']
7398,58223,0.76,Cupid,Cupid,Sam Cooke,['Sam Cooke']
9147,62189,0.613636363636364,Wonderful World,(What A) Wonderful World,Sam Cooke,['Sam Cooke']
11487,70811,0.771428571428571,Mannish Boy,Mannish Boy,Muddy Waters,['Muddy Waters']
12320,73043,0.777777777777778,Rollin Stone,Rollin' Stone,Muddy Waters,['Muddy Waters']
11089,69978,0.708333333333333,Hoochie Coochie Man,(I'm Your) Hoochie Coochie Man,Muddy Waters,['Muddy Waters']
7355,58144,0.8125,Maybellene,Maybellene,Chuck Berry,['Chuck Berry']
7346,58137,0.853658536585366,Roll Over Beethoven,Roll Over Beethoven,Chuck Berry,['Chuck Berry']
7329,58117,0.833333333333333,Johnny B. Goode,Johnny B. Goode,Chuck Berry,['Chuck Berry']
7517,58421,0.882352941176471,Boom Boom,Boom Boom,John Lee Hooker,['John Lee Hooker']
16499,93462,0.422222222222222,Hit the Road Jack,Blackjack,Ray Charles,['Ray Charles']
7454,58324,0.857142857142857,Runaway,Runaway,Del Shannon,['Del Shannon']
7943,58897,0.875,Respect,Respect,Aretha Franklin,['Aretha Franklin']
8039,59030,0.85,Chain of Fools,Chain of Fools,Aretha Franklin,['Aretha Franklin']
19050,105931,0.754716981132076,Do Right Woman — Do Right Man,"Do Right Woman, Do Right Man",Aretha Franklin,['Aretha Franklin']
14088,81716,0.576923076923077,Long Tall Sally,Long Tall Sally - Take 6,Little Richard,['Little Richard']
16471,92484,0.5625,Good Golly,Good Golly Miss Molly,Little Richard,['Little Richard']
3270,22705,0.791666666666667,The Girl Cant Help It,The Girl Can’t Help It,Little Richard,['Little Richard']
7147,57923,0.581395348837209,Tutti-Frutti,Tutti Frutti,Little Richard,['Little Richard']
7556,58505,0.878787878787879,Ring of Fire,Ring of Fire,Johnny Cash,['Johnny Cash']
7536,58459,0.823529411764706,The Twist,The Twist,Chubby Checker,['Chubby Checker']
8538,59538,0.888888888888889,Higher Ground,Higher Ground,Stevie Wonder,['Stevie Wonder']
596,2183,0.885714285714286,Superstition,Superstition,Stevie Wonder,['Stevie Wonder']
19798,111362,0.568965517241379,I Got You (I Feel Good),I Got You (I Feel Good) - 1964 Version,James Brown,['James Brown']
9903,64896,0.936507936507937,I Never Loved a Man (the Way I Love You),I Never Loved a Man (The Way I Love You),Aretha Franklin,['Aretha Franklin']
12989,76740,0.888888888888889,Sloop John B,Sloop John B,The Beach Boys,['The Beach Boys']
17218,95049,0.777777777777778,In My Room,In My Room,The Beach Boys,['The Beach Boys']
14567,82583,0.615384615384615,Caroline,"Caroline, No",The Beach Boys,['The Beach Boys']
19319,106604,0.80952380952381,California Girls,California Girls,The Beach Boys,['The Beach Boys']
17186,94975,0.804878048780488,Dont Worry Baby,Don't Worry Baby,The Beach Boys,['The Beach Boys']
12919,76675,0.894736842105263,God Only Knows,God Only Knows,The Beach Boys,['The Beach Boys']
13069,76807,0.588235294117647,Good Vibrations,Good Vibrations (Stereo),The Beach Boys,['The Beach Boys']
7786,58726,0.902439024390244,People Get Ready,People Get Ready,The Impressions,['The Impressions']
7239,58030,0.833333333333333,All Shook Up,All Shook Up,Elvis Presley,['Elvis Presley']
19608,109821,0.75,Love Me Tender,Love Me Tender,Elvis Presley,['Elvis Presley']
7380,58174,0.837837837837838,Mystery Train,Mystery Train,Elvis Presley,['Elvis Presley']
8152,59110,0.897435897435897,Suspicious Minds,Suspicious Minds,Elvis Presley,['Elvis Presley']
7215,58022,0.818181818181818,Hound Dog,Hound Dog,Elvis Presley,['Elvis Presley']
7261,58035,0.837837837837838,Dont Be Cruel,Don't Be Cruel,Elvis Presley,['Elvis Presley']
7590,58546,0.866666666666667,In Dreams,In Dreams,Roy Orbison,['Roy Orbison']
7207,58020,0.842105263157895,Jailhouse Rock,Jailhouse Rock,Elvis Presley,['Elvis Presley']
7706,58643,0.882352941176471,Walk On By,Walk on By,Dionne Warwick,['Dionne Warwick']
7674,58608,0.870967741935484,Baby Love,Baby Love,The Supremes,['The Supremes']
4264,30291,0.681818181818182,(I Can't Get No) Satisfaction',(I Can't Get No) Satisfaction - Live,The Rolling Stones,['The Rolling Stones']
11810,71294,0.894736842105263,Wild Horses,Wild Horses,The Rolling Stones,['The Rolling Stones']
8112,59089,0.902439024390244,Gimme Shelter,Gimme Shelter,The Rolling Stones,['The Rolling Stones']
7833,58793,0.904761904761905,Paint it Black,"Paint It, Black",The Rolling Stones,['The Rolling Stones']
13352,77221,0.846153846153846,Sympathy for the Devil,Sympathy For The Devil,The Rolling Stones,['The Rolling Stones']
16184,89541,0.583333333333333,Beast of Burden,Beast Of Burden - Remastered,The Rolling Stones,['The Rolling Stones']
3650,24830,0.577777777777778,Miss You,We Love You,The Rolling Stones,['The Rolling Stones']
13282,77175,0.897435897435897,Brown Sugar,Brown Sugar,The Rolling Stones,['The Rolling Stones']
5502,42011,0.875,Street Fighting Man,Street Fighting Man,The Rolling Stones,['The Rolling Stones']
7967,58929,0.9,Ruby Tuesday,Ruby Tuesday,The Rolling Stones,['The Rolling Stones']
7734,58697,0.875,My Girl,My Girl,The Temptations,['The Temptations']
8365,59301,0.521739130434783,Just My Imagination,Just My Imagination (Running Away With Me),The Temptations,['The Temptations']
9844,64803,0.891891891891892,Visions of Johanna,Visions of Johanna,Bob Dylan,['Bob Dylan']
7788,58729,0.888888888888889,Mr. Tambourine Man,Mr. Tambourine Man,The Byrds,['The Byrds']
18152,100536,0.757575757575758,I Cant Explain,I Can't Explain,The Who,['The Who']
17794,99933,0.866666666666667,My Generation,My Generation,The Who,['The Who']
7777,58722,0.711864406779661,Ooo Baby Baby,Ooo Baby Baby,Smokey Robinson and The Miracles,['Smokey Robinson & The Miracles']
17992,100147,0.426470588235294,Shop Around,More Love,Smokey Robinson and the Miracles,['Smokey Robinson & The Miracles']
7770,58717,0.753623188405797,The Tracks of My Tears,The Tracks Of My Tears,Smokey Robinson and the Miracles,['Smokey Robinson & The Miracles']
7759,58710,0.916666666666667,Unchained Melody,Unchained Melody,The Righteous Brothers,['The Righteous Brothers']
9035,61245,0.870967741935484,You've Lost That Lovin' Feelin'',You've Lost That Lovin' Feelin',The Righteous Brothers,['The Righteous Brothers']
13422,77290,0.91304347826087,Ill Take You There,I'll Take You There,The Staple Singers,['The Staple Singers']
14860,83139,0.866666666666667,Respect Yourself,Respect Yourself,The Staple Singers,['The Staple Singers']
7864,58813,0.603174603174603,Summer in the City,Summer in the City - Remastered,The Lovin' Spoonful,"[""The Lovin' Spoonful""]"
